,Country,GDP_USD_billions,GDP_USD_million
155,Liberia,4.38,"4,375"
156,Djibouti,3.92,"3,916"
157,Andorra,3.67,"3,669"
158,Aruba,3.63,"3,633"
159,Sierra Leone,3.52,"3,520"
160,Suriname,3.47,"3,470"
161,Burundi,3.23,"3,234"
162,Belize,3.16,"3,162"
163,Central African Republic,2.74,"2,736"
164,Bhutan,2.68,"2,683"
165,Eritrea,2.67,"2,666"
166,Lesotho,2.58,"2,584"
167,Cape Verde,2.47,"2,468"
168,Gambia,2.28,"2,277"
169,Saint Lucia,2.26,"2,262"
170,East Timor,1.99,"1,988"
171,Seychelles,1.95,"1,950"
172,Guinea-Bissau,1.89,"1,887"
173,Antigua and Barbuda,1.86,"1,864"
174,San Marino,1.81,"1,807"
175,Solomon Islands,1.7,"1,701"
176,Comoros,1.35,"1,348"
177,Grenada,1.27,"1,274"
178,Vanuatu,1.06,"1,064"
179,Saint Kitts and Nevis,1.05,"1,052"
180,Saint Vincent and the Grenadines,1.04,"1,039"
181,Samoa,0.9,898
182,Dominica,0.68,681
183,São Tomé and Príncipe,0.62,625
184,Tonga,0.54,541
185,Micronesia,0.46,456
186,Marshall Islands,0.29,291
187,Palau,0.26,262
188,Kiribati,0.25,248
189,Nauru,0.15,151
190,Tuvalu,0.07,65
